state,fips,abbr
Alabama,1,AL
Alaska,2,AK
Arizona,4,AZ
Arkansas,5,AR
California,6,CA
Colorado,8,CO
Connecticut,9,CT
Delaware,10,DE
District of Columbia,11,DC
Florida,12,FL
Georgia,13,GA
Hawaii,15,HI
Idaho,16,ID
Illinois,17,IL
Indiana,18,IN
Iowa,19,IA
Kansas,20,KS
Kentucky,21,KY
Louisiana,22,LA
Maine,23,ME
Maryland,24,MD
Massachusetts,25,MA
Michigan,26,MI
Minnesota,27,MN
Mississippi,28,MS
Missouri,29,MO
Montana,30,MT
Nebraska,31,NE
Nevada,32,NV
New Hampshire,33,NH
New Jersey,34,NJ
New Mexico,35,NM
New York,36,NY
North Carolina,37,NC
North Dakota,38,ND
Ohio,39,OH
Oklahoma,40,OK
Oregon,41,OR
Pennsylvania,42,PA
Puerto Rico,72,PR
Rhode Island,44,RI
South Carolina,45,SC
South Dakota,46,SD
Tennessee,47,TN
Texas,48,TX
Utah,49,UT
Vermont,50,VT
Virginia,51,VA
Virgin Islands,78,VI
Washington,53,WA
West Virginia,54,WV
Wisconsin,55,WI
Wyoming,56,WY
Wisconsin,6,
Wyoming,17,
Massachusetts,25,
Washington,53,
Wisconsin,55,
Arizona,4,
California,6,
Illinois,17,
Massachusetts,25,
Washington,53,
Wisconsin,55,
Arizona,4,
California,6,
Illinois,17,
Massachusetts,25,
Washington,53,
Wisconsin,55,
Arizona,4,
California,6,
Illinois,17,
Massachusetts,25,
Washington,53,
Wisconsin,55,
Arizona,4,
California,6,
Illinois,17,
Massachusetts,25,
Washington,53,
Wisconsin,55,
Arizona,4,
California,6,
Illinois,17,
Massachusetts,25,
Washington,53,
Wisconsin,55,
Arizona,4,
California,6,
Illinois,17,
Massachusetts,25,
Washington,53,
Wisconsin,55,
Arizona,4,
California,6,
Illinois,17,
Massachusetts,25,
Texas,48,
Washington,53,
Wisconsin,55,
Arizona,4,
California,6,
Illinois,17,
Massachusetts,25,
Texas,48,
Washington,53,
Wisconsin,55,
Arizona,4,
California,6,
Illinois,17,
Massachusetts,25,
Texas,48,
Washington,53,
Wisconsin,55,
Arizona,4,
California,6,
Illinois,17,
Massachusetts,25,
Texas,48,
Washington,53,
Wisconsin,55,
Arizona,4,
California,6,
Illinois,17,
Massachusetts,25,
Texas,48,
Washington,53,
Wisconsin,55,
Arizona,4,
California,6,
Illinois,17,
Massachusetts,25,
Nebraska,31,
Texas,48,
Washington,53,
Wisconsin,55,
Arizona,4,
California,6,
Illinois,17,
Massachusetts,25,
Nebraska,31,
Texas,48,
Washington,53,
Wisconsin,55,
Arizona,4,
California,6,
Illinois,17,
Massachusetts,25,
Nebraska,31,
Texas,48,
Washington,53,
Wisconsin,55,
Arizona,4,
California,6,
Illinois,17,
Massachusetts,25,
Nebraska,31,
Texas,48,
Washington,53,
Wisconsin,55,
Arizona,4,
California,6,
Illinois,17,
Massachusetts,25,
Nebraska,31,
Texas,48,
Washington,53,
Wisconsin,55,
Arizona,4,
California,6,
Illinois,17,
Massachusetts,25,
Nebraska,31,
Texas,48,
Washington,53,
Wisconsin,55,
Arizona,4,
California,6,
Illinois,17,
Massachusetts,25,
Nebraska,31,
Texas,48,
Washington,53,
Wisconsin,55,
Arizona,4,
California,6,
Illinois,17,
Massachusetts,25,
Nebraska,31,
Texas,48,
Washington,53,
Wisconsin,55,
Arizona,4,
California,6,
Illinois,17,
Massachusetts,25,
Nebraska,31,
Texas,48,
Utah,49,
Washington,53,
Wisconsin,55,
Arizona,4,
California,6,
Illinois,17,
Massachusetts,25,
Nebraska,31,
Texas,48,
Utah,49,
Washington,53,
Wisconsin,55,
Arizona,4,
California,6,
Illinois,17,
Massachusetts,25,
Nebraska,31,
Texas,48,
Utah,49,
Washington,53,
Wisconsin,55,
Arizona,4,
California,6,
Illinois,17,
Massachusetts,25,
Nebraska,31,
Oregon,41,
Texas,48,
Utah,49,
Washington,53,
Wisconsin,55,
Arizona,4,
California,6,
Illinois,17,
Massachusetts,25,
Nebraska,31,
Oregon,41,
Texas,48,
Utah,49,
Washington,53,
Wisconsin,55,
Arizona,4,
California,6,
Florida,12,
