"year","unitid","inst_name","state_name","years_after_entry","earnings_female_mean","earnings_male_mean"
"2014","104151","Arizona State University-Tempe","Arizona","10","47800","64800"
"2014","104151","Arizona State University-Tempe","Arizona","6","38900","46000"
"2014","104151","Arizona State University-Tempe","Arizona","8","",""
"2014","104179","University of Arizona","Arizona","10","49100","63900"
"2014","104179","University of Arizona","Arizona","6","38000","46300"
"2014","104179","University of Arizona","Arizona","8","",""
"2014","110662","University of California-Los Angeles","California","10","68500","80000"
"2014","110662","University of California-Los Angeles","California","6","47600","57500"
"2014","110662","University of California-Los Angeles","California","8","",""
"2014","123961","University of Southern California","California","10","81200","98600"
"2014","123961","University of Southern California","California","6","54900","68700"
"2014","123961","University of Southern California","California","8","",""
"2014","126614","University of Colorado Boulder","Colorado","10","53500","65600"
"2014","126614","University of Colorado Boulder","Colorado","6","38900","46300"
"2014","126614","University of Colorado Boulder","Colorado","8","",""
"2014","230764","University of Utah","Utah","10","43200","76800"
"2014","230764","University of Utah","Utah","6","36000","55800"
"2014","230764","University of Utah","Utah","8","",""
"2013","104151","Arizona State University-Tempe","Arizona","10","45200","61700"
"2013","104151","Arizona State University-Tempe","Arizona","6","36900","44200"
"2013","104151","Arizona State University-Tempe","Arizona","8","",""
"2013","104179","University of Arizona","Arizona","10","47100","62300"
"2013","104179","University of Arizona","Arizona","6","36000","43400"
"2013","104179","University of Arizona","Arizona","8","",""
"2013","110662","University of California-Los Angeles","California","10","65500","78300"
"2013","110662","University of California-Los Angeles","California","6","46000","54400"
"2013","110662","University of California-Los Angeles","California","8","",""
"2013","123961","University of Southern California","California","10","77400","96000"
"2013","123961","University of Southern California","California","6","54000","67200"
"2013","123961","University of Southern California","California","8","",""
"2013","126614","University of Colorado Boulder","Colorado","10","50700","62800"
"2013","126614","University of Colorado Boulder","Colorado","6","36100","43200"
"2013","126614","University of Colorado Boulder","Colorado","8","",""
"2013","230764","University of Utah","Utah","10","41700","73400"
"2013","230764","University of Utah","Utah","6","34600","53500"
"2013","230764","University of Utah","Utah","8","",""
"2012","104151","Arizona State University","Arizona","10","44700","60900"
"2012","104151","Arizona State University","Arizona","6","35800","43600"
"2012","104151","Arizona State University","Arizona","8","",""
"2012","104179","University of Arizona","Arizona","10","46100","61500"
"2012","104179","University of Arizona","Arizona","6","34400","42200"
"2012","104179","University of Arizona","Arizona","8","",""
"2012","110662","University of California-Los Angeles","California","10","65900","82100"
"2012","110662","University of California-Los Angeles","California","6","43500","51700"
"2012","110662","University of California-Los Angeles","California","8","",""
"2012","123961","University of Southern California","California","10","74900","89500"
"2012","123961","University of Southern California","California","6","57700","69300"
"2012","123961","University of Southern California","California","8","",""
"2012","126614","University of Colorado Boulder","Colorado","10","48700","62100"
"2012","126614","University of Colorado Boulder","Colorado","6","34700","42200"
"2012","126614","University of Colorado Boulder","Colorado","8","",""
"2012","230764","University of Utah","Utah","10","39400","72300"
"2012","230764","University of Utah","Utah","6","33500","53200"
"2012","230764","University of Utah","Utah","8","",""
"2011","104151","Arizona State University","Arizona","10","45300","60700"
"2011","104151","Arizona State University","Arizona","6","36000","43700"
"2011","104151","Arizona State University","Arizona","8","",""
"2011","104179","University of Arizona","Arizona","10","46200","61200"
"2011","104179","University of Arizona","Arizona","6","34200","43100"
"2011","104179","University of Arizona","Arizona","8","",""
"2011","110662","University of California-Los Angeles","California","10","64800","77800"
"2011","110662","University of California-Los Angeles","California","6","43500","51200"
"2011","110662","University of California-Los Angeles","California","8","",""
"2011","123961","University of Southern California","California","10","73300","81500"
"2011","123961","University of Southern California","California","6","60700","69600"
"2011","123961","University of Southern California","California","8","",""
"2011","126614","University of Colorado Boulder","Colorado","10","48200","62300"
"2011","126614","University of Colorado Boulder","Colorado","6","35200","41600"
"2011","126614","University of Colorado Boulder","Colorado","8","",""
"2011","230764","University of Utah","Utah","10","39300","71400"
"2011","230764","University of Utah","Utah","6","32800","52000"
"2011","230764","University of Utah","Utah","8","",""
"2010","104151","Arizona State University","Arizona","7","",""
"2010","104151","Arizona State University","Arizona","9","",""
"2010","104179","University of Arizona","Arizona","7","",""
"2010","104179","University of Arizona","Arizona","9","",""
"2010","110662","University of California-Los Angeles","California","7","",""
"2010","110662","University of California-Los Angeles","California","9","",""
"2010","123961","University of Southern California","California","7","",""
"2010","123961","University of Southern California","California","9","",""
"2010","126614","University of Colorado Boulder","Colorado","7","",""
"2010","126614","University of Colorado Boulder","Colorado","9","",""
"2010","230764","University of Utah","Utah","7","",""
"2010","230764","University of Utah","Utah","9","",""
"2009","104151","Arizona State University","Arizona","10","47200","62400"
"2009","104151","Arizona State University","Arizona","6","38000","45100"
"2009","104151","Arizona State University","Arizona","8","",""
"2009","104179","University of Arizona","Arizona","10","48200","61600"
"2009","104179","University of Arizona","Arizona","6","36700","44300"
"2009","104179","University of Arizona","Arizona","8","",""
"2009","110662","University of California-Los Angeles","California","10","66800","75300"
"2009","110662","University of California-Los Angeles","California","6","47500","54600"
"2009","110662","University of California-Los Angeles","California","8","",""
"2009","123961","University of Southern California","California","10","69200","80600"
"2009","123961","University of Southern California","California","6","62700","66000"
"2009","123961","University of Southern California","California","8","",""
"2009","126614","University of Colorado at Boulder","Colorado","10","49500","62400"
"2009","126614","University of Colorado at Boulder","Colorado","6","36200","43100"
"2009","126614","University of Colorado at Boulder","Colorado","8","",""
"2009","230764","University of Utah","Utah","10","41400","75000"
"2009","230764","University of Utah","Utah","6","32800","53500"
"2009","230764","University of Utah","Utah","8","",""
"2008","104151","Arizona State University","Arizona","7","",""
"2008","104151","Arizona State University","Arizona","9","",""
"2008","104179","University of Arizona","Arizona","7","",""
"2008","104179","University of Arizona","Arizona","9","",""
"2008","110662","University of California-Los Angeles","California","7","",""
"2008","110662","University of California-Los Angeles","California","9","",""
"2008","123961","University of Southern California","California","7","",""
"2008","123961","University of Southern California","California","9","",""
"2008","126614","University of Colorado at Boulder","Colorado","7","",""
"2008","126614","University of Colorado at Boulder","Colorado","9","",""
"2008","230764","University of Utah","Utah","7","",""
"2008","230764","University of Utah","Utah","9","",""
"2007","104151","Arizona State University at the Tempe Campus","Arizona","10","49100","65500"
"2007","104151","Arizona State University at the Tempe Campus","Arizona","6","41200","49500"
"2007","104151","Arizona State University at the Tempe Campus","Arizona","8","",""
"2007","104179","University of Arizona","Arizona","10","47900","63600"
"2007","104179","University of Arizona","Arizona","6","39400","47600"
"2007","104179","University of Arizona","Arizona","8","",""
"2007","110662","University of California-Los Angeles","California","10","68000","78000"
"2007","110662","University of California-Los Angeles","California","6","51200","56700"
"2007","110662","University of California-Los Angeles","California","8","",""
"2007","123961","University of Southern California","California","10","70400","80600"
"2007","123961","University of Southern California","California","6","62100","64800"
"2007","123961","University of Southern California","California","8","",""
"2007","126614","University of Colorado at Boulder","Colorado","10","52000","65000"
"2007","126614","University of Colorado at Boulder","Colorado","6","38900","47500"
"2007","126614","University of Colorado at Boulder","Colorado","8","",""
"2007","230764","University of Utah","Utah","10","39000","73800"
"2007","230764","University of Utah","Utah","6","34200","54100"
"2007","230764","University of Utah","Utah","8","",""
"2006","104151","Arizona State University at the Tempe Campus","Arizona","7","",""
"2006","104151","Arizona State University at the Tempe Campus","Arizona","9","",""
"2006","104179","University of Arizona","Arizona","7","",""
"2006","104179","University of Arizona","Arizona","9","",""
"2006","110662","University of California-Los Angeles","California","7","",""
"2006","110662","University of California-Los Angeles","California","9","",""
"2006","123961","University of Southern California","California","7","",""
"2006","123961","University of Southern California","California","9","",""
"2006","126614","University of Colorado at Boulder","Colorado","7","",""
"2006","126614","University of Colorado at Boulder","Colorado","9","",""
"2006","230764","University of Utah","Utah","7","",""
"2006","230764","University of Utah","Utah","9","",""
"2005","104151","Arizona State University at the Tempe Campus","Arizona","6","41100","52700"
"2005","104151","Arizona State University at the Tempe Campus","Arizona","8","",""
"2005","104179","University of Arizona","Arizona","6","39700","49500"
"2005","104179","University of Arizona","Arizona","8","",""
"2005","110662","University of California-Los Angeles","California","6","48500","56700"
"2005","110662","University of California-Los Angeles","California","8","",""
"2005","123961","University of Southern California","California","6","56200","60700"
"2005","123961","University of Southern California","California","8","",""
"2005","126614","University of Colorado at Boulder","Colorado","6","38500","46800"
"2005","126614","University of Colorado at Boulder","Colorado","8","",""
"2005","230764","University of Utah","Utah","6","33600","55300"
"2005","230764","University of Utah","Utah","8","",""
"2004","104151","ARIZONA STATE UNIVERSITY AT THE TEMPE CAMPUS","Arizona","7","",""
"2004","104179","UNIVERSITY OF ARIZONA","Arizona","7","",""
"2004","110662","UNIVERSITY OF CALIFORNIA-LOS ANGELES","California","7","",""
"2004","123961","UNIVERSITY OF SOUTHERN CALIFORNIA","California","7","",""
